Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0148178167	293.381868	293.381868	293.381868	293.381868	0	0	0	0	0	0	3
2	4	0	0.0296356335	293.506107	293.443988	293.381868	293.506107	0.0621195618	0	0	0	0	0	3
3	4	0	0.0444534502	293.644004	293.51066	293.381868	293.644004	0.128791835	0	0	0	0	0	3
4	4	0	0.0592712669	293.820348	293.588082	293.381868	293.820348	0.206213795	0	0	0	0	0	3
5	5	0	0.0740890836	294.051729	293.680811	293.381868	294.051729	0.298943297	0	0	0	0	0	3
6	5	0	0.0889069004	294.355661	293.793286	293.381868	294.355661	0.411418195	0	0	0	0	0	3
7	5	0	0.103724717	294.751508	293.930175	293.381868	294.751508	0.548307004	0	0	0	0	0	3
8	6	0	0.118542534	295.23133	294.092819	293.381868	295.23133	0.710951346	0	0	0	0	0	3
9	6	0	0.133360351	295.705375	294.271992	293.381868	295.705375	0.890124163	0	0	0	0	0	3
10	7	0	0.148178167	296.194223	294.464215	293.381868	296.194223	1.08234729	0	0	0	0	0	3
11	7	0	0.162995984	297.545184	294.744303	293.381868	297.545184	1.36243534	0	0	0	0	0	3
12	7	0	0.177813801	297.656102	294.986953	293.381868	297.656102	1.60508521	0	0	0	0	0	3
13	8	0	0.192631617	297.695948	295.195338	293.381868	297.695948	1.81346943	0	0	0	0	0	3
14	8	0	0.207449434	297.725211	295.376043	293.381868	297.725211	1.99417465	0	0	0	0	0	3
15	8	0	0.222267251	297.74888	295.534232	293.381868	297.74888	2.15236379	0	0	0	0	0	3
16	9	0	0.237085068	297.806173	295.676228	293.381868	297.806173	2.29436014	0	0	0	0	0	3
17	9	0	0.251902884	297.830796	295.802968	293.381868	297.830796	2.42109943	0	0	0	0	0	3
18	9	0	0.266720701	297.853045	295.916861	293.381868	297.853045	2.5349926	0	0	0	0	0	3
19	10	0	0.281538518	297.873949	296.019865	293.381868	297.873949	2.63799727	0	0	0	0	0	3
20	10	0	0.296356335	297.892309	296.113488	293.381868	297.892309	2.73161945	0	0	0	0	0	3
21	10	0	0.311174151	297.929722	296.199975	293.381868	297.929722	2.8181068	0	0	0	0	0	3
22	11	0	0.325991968	297.951836	296.279605	293.381868	297.951836	2.89773686	0	0	0	0	0	3
23	11	0	0.340809785	297.969241	296.353067	293.381868	297.969241	2.97119928	0	0	0	0	0	3
24	11	0	0.355627602	297.984849	296.421058	293.381868	297.984849	3.03919019	0	0	0	0	0	3
25	12	0	0.370445418	297.999171	296.484183	293.381868	297.999171	3.10231469	0	0	0	0	0	3
26	12	0	0.385263235	298.019372	296.543229	293.381868	298.019372	3.16136045	0	0	0	0	0	3
27	13	0	0.400081052	298.03522	296.598487	293.381868	298.03522	3.21661939	0	0	0	0	0	3
28	13	0	0.414898868	298.048391	296.65027	293.381868	298.048391	3.26840166	0	0	0	0	0	3
29	13	0	0.429716685	298.06021	296.698888	293.381868	298.06021	3.31702029	0	0	0	0	0	3
30	14	0	0.444534502	298.069263	296.744568	293.381868	298.069263	3.36269944	0	0	0	0	0	3
31	14	0	0.459352319	298.083615	296.787763	293.381868	298.083615	3.40589451	0	0	0	0	0	3
32	14	0	0.474170135	298.093131	296.828555	293.381868	298.093131	3.44668726	0	0	0	0	0	3
33	15	0	0.488987952	298.101492	296.867129	293.381868	298.101492	3.48526108	0	0	0	0	0	3
34	15	0	0.503805769	298.108217	296.903632	293.381868	298.108217	3.52176366	0	0	0	0	0	3
35	15	0	0.518623586	298.114103	297.042815	293.506107	298.114103	3.59882749	0	0	0	0	0	3
36	16	0	0.533441402	298.121737	297.178569	293.644004	298.121737	3.66790904	0	0	0	0	0	3
37	16	0	0.548259219	298.127325	297.310431	293.820348	298.127325	3.72234944	0	0	0	0	0	3
38	16	0	0.563077036	298.13151	297.43723	294.051729	298.13151	3.75641881	0	0	0	0	0	3
39	17	0	0.577894852	298.134726	297.557318	294.355661	298.134726	3.76403205	0	0	0	0	0	3
40	17	0	0.592712669	298.137482	297.668548	294.751508	298.137482	3.38597398	0	0	0	0	0	3
41	17	0	0.607530486	298.140632	297.768228	295.23133	298.140632	2.90930203	0	0	0	0	0	3
42	18	0	0.622348303	298.14293	297.853864	295.705375	298.14293	2.43755504	0	0	0	0	0	3
43	18	0	0.637166119	298.144686	297.925608	296.194223	298.144686	1.95046292	0	0	0	0	0	3
44	18	0	0.651983936	298.145853	297.983009	297.545184	298.145853	0.600669295	0	0	0	0	0	3
45	19	0	0.666801753	298.146851	298.000705	297.656102	298.146851	0.490749612	0	0	0	0	0	3
46	19	0	0.68161957	298.147571	298.01516	297.695948	298.147571	0.45162274	0	0	0	0	0	3
47	20	0	0.696437386	298.148184	298.028461	297.725211	298.148184	0.4229737	0	0	0	0	0	3
48	20	0	0.711255203	298.148598	298.040914	297.74888	298.148598	0.399718448	0	0	0	0	0	3
49	20	0	0.72607302	298.148937	298.05268	297.806173	298.148937	0.342763848	0	0	0	0	0	3
50	21	0	0.740890836	298.149179	298.062769	297.830796	298.149179	0.318382718	0	0	0	0	0	3
51	21	0	0.755708653	298.149381	298.072139	297.853045	298.149381	0.296336425	0	0	0	0	0	3
52	21	0	0.77052647	298.149544	298.080859	297.873949	298.149544	0.2755949	0	0	0	0	0	3
53	22	0	0.785344287	298.149649	298.088968	297.892309	298.149649	0.25734017	0	0	0	0	0	3
54	22	0	0.800162103	298.149732	298.096539	297.929722	298.149732	0.220009949	0	0	0	0	0	3
55	23	0	0.81497992	298.149795	298.103012	297.951836	298.149795	0.197958649	0	0	0	0	0	3
56	23	0	0.829797737	298.149839	298.108836	297.969241	298.149839	0.180597898	0	0	0	0	0	3
57	23	0	0.844615554	298.14988	298.114149	297.984849	298.14988	0.165030515	0	0	0	0	0	3
58	24	0	0.85943337	298.149912	298.119003	297.999171	298.149912	0.150741612	0	0	0	0	0	3
59	24	0	0.874251187	298.149932	298.123438	298.019372	298.149932	0.130559802	0	0	0	0	0	3
60	24	0	0.889069004	298.149948	298.127278	298.03522	298.149948	0.114728529	0	0	0	0	0	3
61	25	0	0.903886821	298.149959	298.130653	298.048391	298.149959	0.101567486	0	0	0	0	0	3
62	25	0	0.918704637	298.149967	298.13364	298.06021	298.149967	0.0897571052	0	0	0	0	0	3
63	25	0	0.933522454	298.149975	298.13628	298.069263	298.149975	0.0807116953	0	0	0	0	0	3
64	26	0	0.948340271	298.14998	298.138654	298.083615	298.14998	0.0663653752	0	0	0	0	0	3
65	26	0	0.963158087	298.149983	298.140606	298.093131	298.149983	0.0568523483	0	0	0	0	0	3
66	27	0	0.977975904	298.149985	298.142279	298.101492	298.149985	0.0484933929	0	0	0	0	0	3
67	27	0	0.992793721	298.149987	298.143705	298.108217	298.149987	0.0417698956	0	0	0	0	0	3
68	27	0	1.00761154	298.149989	298.144934	298.114103	298.149989	0.0358853177	0.135179528	0	100	0	0	3
