Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0148178167	293.247666	293.247666	293.247666	293.247666	0	0	0	0	0	0	3
2	4	0	0.0296356335	293.320697	293.284181	293.247666	293.320697	0.0365157248	0	0	0	0	0	3
3	4	0	0.0444534502	293.426575	293.331646	293.247666	293.426575	0.0839802596	0	0	0	0	0	3
4	4	0	0.0592712669	293.579857	293.393699	293.247666	293.579857	0.146033101	0	0	0	0	0	3
5	5	0	0.0740890836	293.798812	293.474721	293.247666	293.798812	0.227055773	0	0	0	0	0	3
6	5	0	0.0889069004	294.104173	293.57963	293.247666	294.104173	0.331964374	0	0	0	0	0	3
7	5	0	0.103724717	294.514621	293.7132	293.247666	294.514621	0.465534566	0	0	0	0	0	3
8	6	0	0.118542534	295.028097	293.877562	293.247666	295.028097	0.629896744	0	0	0	0	0	3
9	6	0	0.133360351	295.56584	294.065149	293.247666	295.56584	0.817483194	0	0	0	0	0	3
10	7	0	0.148178167	296.114456	294.270079	293.247666	296.114456	1.02241388	0	0	0	0	0	3
11	7	0	0.162995984	297.515551	294.565122	293.247666	297.515551	1.31745676	0	0	0	0	0	3
12	7	0	0.177813801	297.630104	294.820537	293.247666	297.630104	1.57287193	0	0	0	0	0	3
13	8	0	0.192631617	297.670584	295.039772	293.247666	297.670584	1.79210626	0	0	0	0	0	3
14	8	0	0.207449434	297.700353	295.229813	293.247666	297.700353	1.98214778	0	0	0	0	0	3
15	8	0	0.222267251	297.724885	295.396151	293.247666	297.724885	2.14848593	0	0	0	0	0	3
16	9	0	0.237085068	297.783042	295.545332	293.247666	297.783042	2.29766657	0	0	0	0	0	3
17	9	0	0.251902884	297.809719	295.678531	293.247666	297.809719	2.43086581	0	0	0	0	0	3
18	9	0	0.266720701	297.833627	295.798259	293.247666	297.833627	2.55059337	0	0	0	0	0	3
19	10	0	0.281538518	297.856723	295.906599	293.247666	297.856723	2.65893361	0	0	0	0	0	3
20	10	0	0.296356335	297.876818	296.00511	293.247666	297.876818	2.75744455	0	0	0	0	0	3
21	10	0	0.311174151	297.917483	296.096175	293.247666	297.917483	2.84850992	0	0	0	0	0	3
22	11	0	0.325991968	297.941192	296.18004	293.247666	297.941192	2.93237429	0	0	0	0	0	3
23	11	0	0.340809785	297.959899	296.257425	293.247666	297.959899	3.00975945	0	0	0	0	0	3
24	11	0	0.355627602	297.976602	296.329057	293.247666	297.976602	3.08139182	0	0	0	0	0	3
25	12	0	0.370445418	297.992017	296.395576	293.247666	297.992017	3.14791019	0	0	0	0	0	3
26	12	0	0.385263235	298.013889	296.457819	293.247666	298.013889	3.210153	0	0	0	0	0	3
27	13	0	0.400081052	298.030752	296.516075	293.247666	298.030752	3.2684098	0	0	0	0	0	3
28	13	0	0.414898868	298.044456	296.57066	293.247666	298.044456	3.32299482	0	0	0	0	0	3
29	13	0	0.429716685	298.057337	296.621925	293.247666	298.057337	3.37425954	0	0	0	0	0	3
30	14	0	0.444534502	298.066886	296.67009	293.247666	298.066886	3.42242489	0	0	0	0	0	3
31	14	0	0.459352319	298.081289	296.715613	293.247666	298.081289	3.46794743	0	0	0	0	0	3
32	14	0	0.474170135	298.091236	296.758601	293.247666	298.091236	3.51093564	0	0	0	0	0	3
33	15	0	0.488987952	298.100115	296.799253	293.247666	298.100115	3.55158757	0	0	0	0	0	3
34	15	0	0.503805769	298.10721	296.837722	293.247666	298.10721	3.59005689	0	0	0	0	0	3
35	15	0	0.518623586	298.113285	296.980829	293.320697	298.113285	3.69664763	0	0	0	0	0	3
36	16	0	0.533441402	298.121191	297.12202	293.426575	298.121191	3.7903741	0	0	0	0	0	3
37	16	0	0.548259219	298.126889	297.260264	293.579857	298.126889	3.8665658	0	0	0	0	0	3
38	16	0	0.563077036	298.131179	297.394127	293.798812	298.131179	3.91940554	0	0	0	0	0	3
39	17	0	0.577894852	298.134499	297.521647	294.104173	298.134499	3.94201716	0	0	0	0	0	3
40	17	0	0.592712669	298.137338	297.64027	294.514621	298.137338	3.62271705	0	0	0	0	0	3
41	17	0	0.607530486	298.140532	297.746914	295.028097	298.140532	3.11243429	0	0	0	0	0	3
42	18	0	0.622348303	298.142853	297.838524	295.56584	298.142853	2.57701257	0	0	0	0	0	3
43	18	0	0.637166119	298.144633	297.914371	296.114456	298.144633	2.03017785	0	0	0	0	0	3
44	18	0	0.651983936	298.14581	297.974117	297.515551	298.14581	0.63025869	0	0	0	0	0	3
45	19	0	0.666801753	298.146814	297.992684	297.630104	298.146814	0.516709531	0	0	0	0	0	3
46	19	0	0.68161957	298.14754	298.007902	297.670584	298.14754	0.476956467	0	0	0	0	0	3
47	20	0	0.696437386	298.148154	298.021948	297.700353	298.148154	0.447800548	0	0	0	0	0	3
48	20	0	0.711255203	298.148577	298.035131	297.724885	298.148577	0.423691564	0	0	0	0	0	3
49	20	0	0.72607302	298.148922	298.047603	297.783042	298.148922	0.365879949	0	0	0	0	0	3
50	21	0	0.740890836	298.149168	298.058372	297.809719	298.149168	0.33944851	0	0	0	0	0	3
51	21	0	0.755708653	298.149371	298.068361	297.833627	298.149371	0.31574358	0	0	0	0	0	3
52	21	0	0.77052647	298.149533	298.077653	297.856723	298.149533	0.292810113	0	0	0	0	0	3
53	22	0	0.785344287	298.149641	298.086268	297.876818	298.149641	0.272823524	0	0	0	0	0	3
54	22	0	0.800162103	298.149727	298.094295	297.917483	298.149727	0.232244283	0	0	0	0	0	3
55	23	0	0.81497992	298.149791	298.101127	297.941192	298.149791	0.208599777	0	0	0	0	0	3
56	23	0	0.829797737	298.149836	298.107264	297.959899	298.149836	0.189937605	0	0	0	0	0	3
57	23	0	0.844615554	298.149878	298.112851	297.976602	298.149878	0.173275924	0	0	0	0	0	3
58	24	0	0.85943337	298.14991	298.117949	297.992017	298.14991	0.157893895	0	0	0	0	0	3
59	24	0	0.874251187	298.149931	298.122593	298.013889	298.149931	0.136042001	0	0	0	0	0	3
60	24	0	0.889069004	298.149947	298.126595	298.030752	298.149947	0.119194978	0	0	0	0	0	3
61	25	0	0.903886821	298.149957	298.130101	298.044456	298.149957	0.105501566	0	0	0	0	0	3
62	25	0	0.918704637	298.149966	298.133204	298.057337	298.149966	0.0926289053	0	0	0	0	0	3
63	25	0	0.933522454	298.149974	298.135929	298.066886	298.149974	0.0830880995	0	0	0	0	0	3
64	26	0	0.948340271	298.149979	298.138373	298.081289	298.149979	0.0686902957	0	0	0	0	0	3
65	26	0	0.963158087	298.149982	298.140393	298.091236	298.149982	0.0587468912	0	0	0	0	0	3
66	27	0	0.977975904	298.149985	298.142121	298.100115	298.149985	0.0498695754	0	0	0	0	0	3
67	27	0	0.992793721	298.149987	298.143588	298.10721	298.149987	0.042776811	0	0	0	0	0	3
68	27	0	1.00761154	298.149989	298.144846	298.113285	298.149989	0.0367033363	0.141702413	0	100	0	0	3
