Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0148178167	-36.2691118	-36.2691118	-36.2691118	-36.2691118	0	0	0	0	0	0	3
2	4	0	0.0296356335	-31.4632034	-33.8661576	-36.2691118	-31.4632034	2.4029542	0	0	0	0	0	3
3	4	0	0.0444534502	-28.6048677	-32.1123943	-36.2691118	-28.6048677	4.15671751	0	0	0	0	0	3
4	4	0	0.0592712669	-25.9349265	-30.5680274	-36.2691118	-25.9349265	5.70108446	0	0	0	0	0	3
5	5	0	0.0740890836	-22.7765104	-29.009724	-36.2691118	-22.7765104	7.25938786	0	0	0	0	0	3
6	5	0	0.0889069004	-19.1564347	-27.3675091	-36.2691118	-19.1564347	8.90160274	0	0	0	0	0	3
7	5	0	0.103724717	-15.2898644	-25.6421313	-36.2691118	-15.2898644	10.6269805	0	0	0	0	0	3
8	6	0	0.118542534	-11.2893652	-23.8480355	-36.2691118	-11.2893652	12.4210763	0	0	0	0	0	3
9	6	0	0.133360351	-7.03458583	-21.9798744	-36.2691118	-7.03458583	14.2892374	0	0	0	0	0	3
10	7	0	0.148178167	-4.44810436	-20.2266974	-36.2691118	-4.44810436	16.0424144	0	0	0	0	0	3
11	7	0	0.162995984	-0.196398334	-18.4057611	-36.2691118	-0.196398334	17.8633507	0	0	0	0	0	3
12	7	0	0.177813801	-0.000781505882	-16.8720128	-36.2691118	-0.000781505882	19.397099	0	0	0	0	0	3
13	8	0	0.192631617	-2.15314875e-05	-15.5741674	-36.2691118	-2.15314875e-05	20.6949445	0	0	0	0	0	3
14	8	0	0.207449434	-1.06375019e-05	-14.4617276	-36.2691118	-1.06375019e-05	21.8073842	0	0	0	0	0	3
15	8	0	0.222267251	-7.35256591e-06	-13.4976129	-36.2691118	-7.35256591e-06	22.7714989	0	0	0	0	0	3
16	9	0	0.237085068	-0.000318211245	-12.654032	-36.2691118	-7.35256591e-06	23.6150798	0	0	0	0	0	3
