Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0148178167	0	0	0	0	0	0	0	0	0	0	3
2	4	0	0.0296356335	0	0	0	0	0	0	0	0	0	0	3
3	4	0	0.0444534502	0	0	0	0	0	0	0	0	0	0	3
4	4	0	0.0592712669	0	0	0	0	0	0	0	0	0	0	3
5	5	0	0.0740890836	0	0	0	0	0	0	0	0	0	0	3
6	5	0	0.0889069004	0	0	0	0	0	0	0	0	0	0	3
7	5	0	0.103724717	0	0	0	0	0	0	0	0	0	0	3
8	6	0	0.118542534	0	0	0	0	0	0	0	0	0	0	3
9	6	0	0.133360351	0	0	0	0	0	0	0	0	0	0	3
10	7	0	0.148178167	0	0	0	0	0	0	0	0	0	0	3
11	7	0	0.162995984	0	0	0	0	0	0	0	0	0	0	3
12	7	0	0.177813801	0	0	0	0	0	0	0	0	0	0	3
13	8	0	0.192631617	0	0	0	0	0	0	0	0	0	0	3
14	8	0	0.207449434	0	0	0	0	0	0	0	0	0	0	3
15	8	0	0.222267251	0	0	0	0	0	0	0	0	0	0	3
16	9	0	0.237085068	0	0	0	0	0	0	0	0	0	0	3
17	9	0	0.251902884	0	0	0	0	0	0	0	0	0	0	3
18	9	0	0.266720701	0	0	0	0	0	0	0	0	0	0	3
19	10	0	0.281538518	0	0	0	0	0	0	0	0	0	0	3
20	10	0	0.296356335	0	0	0	0	0	0	0	0	0	0	3
21	10	0	0.311174151	0	0	0	0	0	0	0	0	0	0	3
22	11	0	0.325991968	0	0	0	0	0	0	0	0	0	0	3
23	11	0	0.340809785	0	0	0	0	0	0	0	0	0	0	3
24	11	0	0.355627602	0	0	0	0	0	0	0	0	0	0	3
25	12	0	0.370445418	0	0	0	0	0	0	0	0	0	0	3
26	12	0	0.385263235	0	0	0	0	0	0	0	0	0	0	3
27	13	0	0.400081052	0	0	0	0	0	0	0	0	0	0	3
28	13	0	0.414898868	0	0	0	0	0	0	0	0	0	0	3
29	13	0	0.429716685	0	0	0	0	0	0	0	0	0	0	3
30	14	0	0.444534502	0	0	0	0	0	0	0	0	0	0	3
31	14	0	0.459352319	0	0	0	0	0	0	0	0	0	0	3
32	14	0	0.474170135	0	0	0	0	0	0	0	0	0	0	3
33	15	0	0.488987952	0	0	0	0	0	0	0	0	0	0	3
34	15	0	0.503805769	0	0	0	0	0	0	0	0	0	0	3
35	15	0	0.518623586	0	0	0	0	0	0	0	0	0	0	3
36	16	0	0.533441402	0	0	0	0	0	0	0	0	0	0	3
37	16	0	0.548259219	0	0	0	0	0	0	0	0	0	0	3
38	16	0	0.563077036	0	0	0	0	0	0	0	0	0	0	3
39	17	0	0.577894852	0	0	0	0	0	0	0	0	0	0	3
40	17	0	0.592712669	0	0	0	0	0	0	0	0	0	0	3
41	17	0	0.607530486	0	0	0	0	0	0	0	0	0	0	3
42	18	0	0.622348303	0	0	0	0	0	0	0	0	0	0	3
43	18	0	0.637166119	0	0	0	0	0	0	0	0	0	0	3
44	18	0	0.651983936	0	0	0	0	0	0	0	0	0	0	3
45	19	0	0.666801753	0	0	0	0	0	0	0	0	0	0	3
46	19	0	0.68161957	0	0	0	0	0	0	0	0	0	0	3
47	20	0	0.696437386	0	0	0	0	0	0	0	0	0	0	3
48	20	0	0.711255203	0	0	0	0	0	0	0	0	0	0	3
49	20	0	0.72607302	0	0	0	0	0	0	0	0	0	0	3
50	21	0	0.740890836	0	0	0	0	0	0	0	0	0	0	3
51	21	0	0.755708653	0	0	0	0	0	0	0	0	0	0	3
52	21	0	0.77052647	0	0	0	0	0	0	0	0	0	0	3
53	22	0	0.785344287	0	0	0	0	0	0	0	0	0	0	3
54	22	0	0.800162103	0	0	0	0	0	0	0	0	0	0	3
55	23	0	0.81497992	0	0	0	0	0	0	0	0	0	0	3
56	23	0	0.829797737	0	0	0	0	0	0	0	0	0	0	3
57	23	0	0.844615554	0	0	0	0	0	0	0	0	0	0	3
58	24	0	0.85943337	0	0	0	0	0	0	0	0	0	0	3
59	24	0	0.874251187	0	0	0	0	0	0	0	0	0	0	3
60	24	0	0.889069004	0	0	0	0	0	0	0	0	0	0	3
61	25	0	0.903886821	0	0	0	0	0	0	0	0	0	0	3
62	25	0	0.918704637	0	0	0	0	0	0	0	0	0	0	3
63	25	0	0.933522454	0	0	0	0	0	0	0	0	0	0	3
64	26	0	0.948340271	0	0	0	0	0	0	0	0	0	0	3
65	26	0	0.963158087	0	0	0	0	0	0	0	0	0	0	3
66	27	0	0.977975904	0	0	0	0	0	0	0	0	0	0	3
67	27	0	0.992793721	0	0	0	0	0	0	0	0	0	0	3
68	27	0	1.00761154	0	0	0	0	0	0.001	0	0	0	0	3
