Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0148178167	101326.628	101326.628	101326.628	101326.628	0	0	0	0	0	0	3
2	4	0	0.0296356335	101326.628	101326.628	101326.628	101326.628	1.23493519e-05	0	0	0	0	0	3
3	4	0	0.0444534502	101326.628	101326.628	101326.628	101326.628	2.13045132e-05	0	0	0	0	0	3
4	4	0	0.0592712669	101326.628	101326.628	101326.628	101326.628	2.91863835e-05	0	0	0	0	0	3
5	5	0	0.0740890836	101326.628	101326.628	101326.628	101326.628	3.67783068e-05	0	0	0	0	0	3
6	5	0	0.0889069004	101326.628	101326.628	101326.628	101326.628	4.76965215e-05	0	0	0	0	0	3
7	5	0	0.103724717	101326.628	101326.628	101326.628	101326.628	7.43997516e-05	0	0	0	0	0	3
8	6	0	0.118542534	101326.627	101326.628	101326.627	101326.628	0.000187706566	0	0	0	0	0	3
9	6	0	0.133360351	101326.623	101326.627	101326.623	101326.628	0.000760544644	0	0	0	0	0	3
10	7	0	0.148178167	101326.608	101326.626	101326.608	101326.628	0.00270504382	0	0	0	0	0	3
11	7	0	0.162995984	101326.607	101326.624	101326.607	101326.628	0.00435583542	0	0	0	0	0	3
12	7	0	0.177813801	101326.607	101326.622	101326.607	101326.628	0.00578379541	0	0	0	0	0	3
13	8	0	0.192631617	101326.606	101326.621	101326.606	101326.628	0.00705966458	0	0	0	0	0	3
14	8	0	0.207449434	101326.605	101326.62	101326.605	101326.628	0.00819211331	0	0	0	0	0	3
15	8	0	0.222267251	101326.605	101326.619	101326.605	101326.628	0.00920103895	0	0	0	0	0	3
16	9	0	0.237085068	101326.604	101326.618	101326.604	101326.628	0.0101312827	0	0	0	0	0	3
17	9	0	0.251902884	101326.604	101326.617	101326.604	101326.628	0.0109875482	0	0	0	0	0	3
18	9	0	0.266720701	101326.603	101326.616	101326.603	101326.628	0.0117671757	0	0	0	0	0	3
19	10	0	0.281538518	101326.603	101326.616	101326.603	101326.628	0.0124685738	0	0	0	0	0	3
20	10	0	0.296356335	101326.603	101326.615	101326.603	101326.628	0.0131016891	0	0	0	0	0	3
21	10	0	0.311174151	101326.603	101326.615	101326.603	101326.628	0.013675919	0	0	0	0	0	3
22	11	0	0.325991968	101326.604	101326.614	101326.603	101326.628	0.0141769406	0	0	0	0	0	3
23	11	0	0.340809785	101326.604	101326.614	101326.603	101326.628	0.014603273	0	0	0	0	0	3
24	11	0	0.355627602	101326.605	101326.613	101326.603	101326.628	0.0149631068	0	0	0	0	0	3
25	12	0	0.370445418	101326.606	101326.613	101326.603	101326.628	0.0152627934	0	0	0	0	0	3
26	12	0	0.385263235	101326.607	101326.613	101326.603	101326.628	0.0154842037	0	0	0	0	0	3
27	13	0	0.400081052	101326.609	101326.613	101326.603	101326.628	0.0156361227	0	0	0	0	0	3
