Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0148178167	298.15	298.15	298.15	298.15	0	0	0	0	0	0	3
2	4	0	0.0296356335	298.149999	298.149999	298.149999	298.15	1.7540458e-07	0	0	0	0	0	3
3	4	0	0.0444534502	298.149999	298.149999	298.149999	298.15	3.38681332e-07	0	0	0	0	0	3
4	4	0	0.0592712669	298.149999	298.149999	298.149999	298.15	4.93689811e-07	0	0	0	0	0	3
5	5	0	0.0740890836	298.149998	298.149999	298.149998	298.15	6.45388241e-07	0	0	0	0	0	3
6	5	0	0.0889069004	298.149998	298.149999	298.149998	298.15	8.58267697e-07	0	0	0	0	0	3
7	5	0	0.103724717	298.149995	298.149998	298.149995	298.15	1.34278588e-06	0	0	0	0	0	3
8	6	0	0.118542534	298.149983	298.149996	298.149983	298.15	3.22337041e-06	0	0	0	0	0	3
9	6	0	0.133360351	298.149907	298.149986	298.149907	298.15	1.31106506e-05	0	0	0	0	0	3
10	7	0	0.148178167	298.149739	298.149962	298.149739	298.15	3.78882098e-05	0	0	0	0	0	3
11	7	0	0.162995984	298.149683	298.149936	298.149683	298.15	6.32401326e-05	0	0	0	0	0	3
12	7	0	0.177813801	298.149616	298.14991	298.149616	298.15	8.99324592e-05	0	0	0	0	0	3
13	8	0	0.192631617	298.14955	298.149882	298.14955	298.15	0.000117609545	0	0	0	0	0	3
14	8	0	0.207449434	298.149497	298.149854	298.149497	298.15	0.000145083847	0	0	0	0	0	3
15	8	0	0.222267251	298.14945	298.149828	298.14945	298.15	0.000172062022	0	0	0	0	0	3
16	9	0	0.237085068	298.149361	298.149798	298.149361	298.15	0.000201188151	0	0	0	0	0	3
17	9	0	0.251902884	298.14927	298.149767	298.14927	298.15	0.000232288074	0	0	0	0	0	3
18	9	0	0.266720701	298.149195	298.149736	298.149195	298.15	0.000264065105	0	0	0	0	0	3
19	10	0	0.281538518	298.149165	298.149705	298.149165	298.15	0.000294113597	0	0	0	0	0	3
20	10	0	0.296356335	298.149181	298.149679	298.149165	298.15	0.000320312617	0	0	0	0	0	3
21	10	0	0.311174151	298.149279	298.14966	298.149165	298.15	0.000339352475	0	0	0	0	0	3
22	11	0	0.325991968	298.1494	298.149648	298.149165	298.15	0.000351203598	0	0	0	0	0	3
23	11	0	0.340809785	298.149509	298.149642	298.149165	298.15	0.000357278307	0	0	0	0	0	3
24	11	0	0.355627602	298.149595	298.14964	298.149165	298.15	0.000359236552	0	0	0	0	0	3
25	12	0	0.370445418	298.149661	298.149641	298.149165	298.15	0.000359236552	0	0	0	0	0	3
26	12	0	0.385263235	298.149725	298.149644	298.149165	298.15	0.000359236552	0	0	0	0	0	3
27	13	0	0.400081052	298.149769	298.149649	298.149165	298.15	0.000359236552	0	0	0	0	0	3
28	13	0	0.414898868	298.1498	298.149654	298.149165	298.15	0.000359236552	0	0	0	0	0	3
29	13	0	0.429716685	298.149824	298.14966	298.149165	298.15	0.000359236552	0	0	0	0	0	3
30	14	0	0.444534502	298.149841	298.149666	298.149165	298.15	0.000359236552	0	0	0	0	0	3
31	14	0	0.459352319	298.149864	298.149673	298.149165	298.15	0.000359236552	0	0	0	0	0	3
32	14	0	0.474170135	298.149881	298.149679	298.149165	298.15	0.000359236552	0	0	0	0	0	3
33	15	0	0.488987952	298.149895	298.149686	298.149165	298.15	0.000359236552	0	0	0	0	0	3
34	15	0	0.503805769	298.149906	298.149692	298.149165	298.15	0.000359236552	0	0	0	0	0	3
35	15	0	0.518623586	298.149916	298.14969	298.149165	298.149999	0.000359061147	0	0	0	0	0	3
36	16	0	0.533441402	298.149928	298.149688	298.149165	298.149999	0.00035889787	0	0	0	0	0	3
37	16	0	0.548259219	298.149939	298.149686	298.149165	298.149999	0.000358742862	0	0	0	0	0	3
38	16	0	0.563077036	298.149948	298.149684	298.149165	298.149998	0.000358591163	0	0	0	0	0	3
39	17	0	0.577894852	298.149955	298.149683	298.149165	298.149998	0.000358378284	0	0	0	0	0	3
40	17	0	0.592712669	298.149961	298.149682	298.149165	298.149995	0.000357893766	0	0	0	0	0	3
41	17	0	0.607530486	298.149967	298.149681	298.149165	298.149983	0.000356013181	0	0	0	0	0	3
42	18	0	0.622348303	298.149972	298.149681	298.149165	298.149972	0.000346125901	0	0	0	0	0	3
43	18	0	0.637166119	298.149976	298.149683	298.149165	298.149976	0.000321348342	0	0	0	0	0	3
44	18	0	0.651983936	298.149979	298.14969	298.149165	298.149979	0.000295996419	0	0	0	0	0	3
45	19	0	0.666801753	298.149982	298.149699	298.149165	298.149982	0.000269304092	0	0	0	0	0	3
46	19	0	0.68161957	298.149985	298.14971	298.149165	298.149985	0.000241627007	0	0	0	0	0	3
47	20	0	0.696437386	298.149987	298.149722	298.149165	298.149987	0.000214152705	0	0	0	0	0	3
48	20	0	0.711255203	298.149989	298.149737	298.149165	298.149989	0.000187174529	0	0	0	0	0	3
49	20	0	0.72607302	298.149991	298.149753	298.149165	298.149991	0.000158048401	0	0	0	0	0	3
50	21	0	0.740890836	298.149992	298.149771	298.149165	298.149992	0.000130951445	0	0	0	0	0	3
51	21	0	0.755708653	298.149993	298.149793	298.149165	298.149993	0.000152216957	0	0	0	0	0	3
52	21	0	0.77052647	298.149993	298.149816	298.149165	298.149993	0.000175686957	0	0	0	0	0	3
53	22	0	0.785344287	298.149994	298.14984	298.149181	298.149994	0.00020007601	0	0	0	0	0	3
54	22	0	0.800162103	298.149994	298.149864	298.149279	298.149994	0.000223982809	0	0	0	0	0	3
55	23	0	0.81497992	298.149995	298.149885	298.1494	298.149995	0.000245029162	0	0	0	0	0	3
56	23	0	0.829797737	298.149995	298.149903	298.149509	298.149995	0.000262557833	0	0	0	0	0	3
57	23	0	0.844615554	298.149996	298.149917	298.149595	298.149996	0.000276889191	0	0	0	0	0	3
58	24	0	0.85943337	298.149996	298.149929	298.149661	298.149996	0.000287873553	0	0	0	0	0	3
59	24	0	0.874251187	298.149997	298.149939	298.149725	298.149997	0.000272177486	0	0	0	0	0	3
60	24	0	0.889069004	298.149997	298.149947	298.149769	298.149997	0.000228371437	0	0	0	0	0	3
61	25	0	0.903886821	298.149997	298.149954	298.1498	298.149997	0.000197537467	0	0	0	0	0	3
62	25	0	0.918704637	298.149997	298.149959	298.149824	298.149997	0.000173675239	0	0	0	0	0	3
63	25	0	0.933522454	298.149998	298.149965	298.149841	298.149998	0.000156361934	0	0	0	0	0	3
