Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0148178167	295.160181	295.160181	295.160181	295.160181	0	0	0	0	0	0	3
2	4	0	0.0296356335	295.816563	295.488372	295.160181	295.816563	0.328191038	0	0	0	0	0	3
3	4	0	0.0444534502	295.988259	295.655001	295.160181	295.988259	0.494819884	0	0	0	0	0	3
4	4	0	0.0592712669	296.110599	295.768901	295.160181	296.110599	0.608719268	0	0	0	0	0	3
5	5	0	0.0740890836	296.265645	295.86825	295.160181	296.265645	0.708068229	0	0	0	0	0	3
6	5	0	0.0889069004	296.461392	295.967107	295.160181	296.461392	0.806925363	0	0	0	0	0	3
7	5	0	0.103724717	296.69504	296.071097	295.160181	296.69504	0.910915817	0	0	0	0	0	3
8	6	0	0.118542534	296.948813	296.180812	295.160181	296.948813	1.02063029	0	0	0	0	0	3
9	6	0	0.133360351	297.167052	296.290394	295.160181	297.167052	1.13021259	0	0	0	0	0	3
10	7	0	0.148178167	297.368906	296.398245	295.160181	297.368906	1.23806377	0	0	0	0	0	3
11	7	0	0.162995984	297.858651	296.531009	295.160181	297.858651	1.3708279	0	0	0	0	0	3
12	7	0	0.177813801	297.903364	296.645372	295.160181	297.903364	1.4851908	0	0	0	0	0	3
13	8	0	0.192631617	297.921478	296.743534	295.160181	297.921478	1.58335278	0	0	0	0	0	3
14	8	0	0.207449434	297.934445	296.828599	295.160181	297.934445	1.66841787	0	0	0	0	0	3
15	8	0	0.222267251	297.944557	296.902996	295.160181	297.944557	1.74281506	0	0	0	0	0	3
16	9	0	0.237085068	297.967965	296.969557	295.160181	297.967965	1.80937562	0	0	0	0	0	3
17	9	0	0.251902884	297.978578	297.028911	295.160181	297.978578	1.86872982	0	0	0	0	0	3
18	9	0	0.266720701	297.988675	297.082231	295.160181	297.988675	1.92205002	0	0	0	0	0	3
19	10	0	0.281538518	297.997617	297.13041	295.160181	297.997617	1.97022819	0	0	0	0	0	3
20	10	0	0.296356335	298.00576	297.174177	295.160181	298.00576	2.0139957	0	0	0	0	0	3
21	10	0	0.311174151	298.021229	297.214513	295.160181	298.021229	2.0543315	0	0	0	0	0	3
22	11	0	0.325991968	298.031786	297.251662	295.160181	298.031786	2.0914803	0	0	0	0	0	3
23	11	0	0.340809785	298.039672	297.285923	295.160181	298.039672	2.12574161	0	0	0	0	0	3
24	11	0	0.355627602	298.047561	297.317658	295.160181	298.047561	2.15747652	0	0	0	0	0	3
25	12	0	0.370445418	298.055303	297.347164	295.160181	298.055303	2.18698232	0	0	0	0	0	3
26	12	0	0.385263235	298.065383	297.374788	295.160181	298.065383	2.21460615	0	0	0	0	0	3
27	13	0	0.400081052	298.074319	297.400696	295.160181	298.074319	2.24051474	0	0	0	0	0	3
28	13	0	0.414898868	298.081767	297.42502	295.160181	298.081767	2.26483869	0	0	0	0	0	3
29	13	0	0.429716685	298.088382	297.447895	295.160181	298.088382	2.28771322	0	0	0	0	0	3
30	14	0	0.444534502	298.093746	297.469423	295.160181	298.093746	2.3092416	0	0	0	0	0	3
31	14	0	0.459352319	298.102345	297.48984	295.160181	298.102345	2.32965844	0	0	0	0	0	3
32	14	0	0.474170135	298.108526	297.509174	295.160181	298.108526	2.34899239	0	0	0	0	0	3
33	15	0	0.488987952	298.113989	297.527502	295.160181	298.113989	2.36732014	0	0	0	0	0	3
34	15	0	0.503805769	298.1184	297.544881	295.160181	298.1184	2.38469951	0	0	0	0	0	3
35	15	0	0.518623586	298.122419	297.632006	295.816563	298.122419	2.1436331	0	0	0	0	0	3
36	16	0	0.533441402	298.127999	297.699989	295.988259	298.127999	2.04498765	0	0	0	0	0	3
37	16	0	0.548259219	298.132199	297.763046	296.110599	298.132199	1.99414534	0	0	0	0	0	3
38	16	0	0.563077036	298.135328	297.822597	296.265645	298.135328	1.86968267	0	0	0	0	0	3
39	17	0	0.577894852	298.137822	297.877661	296.461392	298.137822	1.67642959	0	0	0	0	0	3
40	17	0	0.592712669	298.139949	297.92703	296.69504	298.139949	1.44490946	0	0	0	0	0	3
41	17	0	0.607530486	298.142447	297.969601	296.948813	298.142447	1.19363427	0	0	0	0	0	3
42	18	0	0.622348303	298.144228	298.00476	297.167052	298.144228	0.977175557	0	0	0	0	0	3
43	18	0	0.637166119	298.145618	298.033542	297.368906	298.145618	0.776711677	0	0	0	0	0	3
44	18	0	0.651983936	298.146588	298.056415	297.858651	298.146588	0.287937088	0	0	0	0	0	3
45	19	0	0.666801753	298.147376	298.064907	297.903364	298.147376	0.244012275	0	0	0	0	0	3
46	19	0	0.68161957	298.147994	298.072102	297.921478	298.147994	0.226516531	0	0	0	0	0	3
47	20	0	0.696437386	298.148493	298.078778	297.934445	298.148493	0.214047652	0	0	0	0	0	3
48	20	0	0.711255203	298.148845	298.085084	297.944557	298.148845	0.20428766	0	0	0	0	0	3
49	20	0	0.72607302	298.149118	298.091101	297.967965	298.149118	0.181152737	0	0	0	0	0	3
50	21	0	0.740890836	298.149313	298.096435	297.978578	298.149313	0.170734601	0	0	0	0	0	3
51	21	0	0.755708653	298.149483	298.101461	297.988675	298.149483	0.160807855	0	0	0	0	0	3
52	21	0	0.77052647	298.149613	298.106195	297.997617	298.149613	0.151996844	0	0	0	0	0	3
53	22	0	0.785344287	298.149701	298.110668	298.00576	298.149701	0.143941524	0	0	0	0	0	3
54	22	0	0.800162103	298.149772	298.114903	298.021229	298.149772	0.128543266	0	0	0	0	0	3
55	23	0	0.81497992	298.149826	298.118686	298.031786	298.149826	0.118039739	0	0	0	0	0	3
56	23	0	0.829797737	298.149863	298.122158	298.039672	298.149863	0.110190812	0	0	0	0	0	3
57	23	0	0.844615554	298.149894	298.1254	298.047561	298.149894	0.102332635	0	0	0	0	0	3
58	24	0	0.85943337	298.149921	298.128411	298.055303	298.149921	0.0946179253	0	0	0	0	0	3
59	24	0	0.874251187	298.149938	298.131194	298.065383	298.149938	0.0845546504	0	0	0	0	0	3
60	24	0	0.889069004	298.149953	298.133682	298.074319	298.149953	0.075633452	0	0	0	0	0	3
61	25	0	0.903886821	298.149963	298.135906	298.081767	298.149963	0.0681956809	0	0	0	0	0	3
62	25	0	0.918704637	298.14997	298.137912	298.088382	298.14997	0.0615880275	0	0	0	0	0	3
63	25	0	0.933522454	298.149976	298.139724	298.093746	298.149976	0.0562302638	0	0	0	0	0	3
64	26	0	0.948340271	298.149981	298.141378	298.102345	298.149981	0.0476356799	0	0	0	0	0	3
65	26	0	0.963158087	298.149983	298.142779	298.108526	298.149983	0.0414571898	0	0	0	0	0	3
66	27	0	0.977975904	298.149985	298.143998	298.113989	298.149985	0.0359958066	0	0	0	0	0	3
67	27	0	0.992793721	298.149987	298.145057	298.1184	298.149987	0.0315869287	0	0	0	0	0	3
68	27	0	1.00761154	298.149989	298.145986	298.122419	298.149989	0.0275704328	0.0648519068	0	0	0	0	3
