Iteration	CPUTime	PhysTime	Travels
1	3	0	0.0148178167
2	4	0	0.0296356335
3	4	0	0.0444534502
4	4	0	0.0592712669
5	5	0	0.0740890836
6	5	0	0.0889069004
7	5	0	0.103724717
8	6	0	0.118542534
9	6	0	0.133360351
10	7	0	0.148178167
11	7	0	0.162995984
12	7	0	0.177813801
13	8	0	0.192631617
14	8	0	0.207449434
15	8	0	0.222267251
16	9	0	0.237085068
17	9	0	0.251902884
18	9	0	0.266720701
19	10	0	0.281538518
20	10	0	0.296356335
21	10	0	0.311174151
22	11	0	0.325991968
23	11	0	0.340809785
24	11	0	0.355627602
25	12	0	0.370445418
26	12	0	0.385263235
27	13	0	0.400081052
28	13	0	0.414898868
29	13	0	0.429716685
30	14	0	0.444534502
31	14	0	0.459352319
32	14	0	0.474170135
33	15	0	0.488987952
34	15	0	0.503805769
35	15	0	0.518623586
36	16	0	0.533441402
37	16	0	0.548259219
38	16	0	0.563077036
39	17	0	0.577894852
40	17	0	0.592712669
41	17	0	0.607530486
42	18	0	0.622348303
43	18	0	0.637166119
44	18	0	0.651983936
45	19	0	0.666801753
46	19	0	0.68161957
47	20	0	0.696437386
48	20	0	0.711255203
49	20	0	0.72607302
50	21	0	0.740890836
51	21	0	0.755708653
52	21	0	0.77052647
53	22	0	0.785344287
54	22	0	0.800162103
55	23	0	0.81497992
56	23	0	0.829797737
57	23	0	0.844615554
58	24	0	0.85943337
59	24	0	0.874251187
60	24	0	0.889069004
61	25	0	0.903886821
62	25	0	0.918704637
63	25	0	0.933522454
64	26	0	0.948340271
65	26	0	0.963158087
66	27	0	0.977975904
67	27	0	0.992793721
68	27	0	1.00761154
